Key,Value/Id,Value/ShardId,Value/ShardRate,Value/RareItemId,Value/RareItemQuantity,Value/RareItemRate,Value/CommonItemId,Value/CommonItemQuantity,Value/CommonRate,Value/RareIngredientId,Value/RareIngredientQuantity,Value/RareIngredientRate,Value/CommonIngredientId,Value/CommonIngredientQuantity,Value/CommonIngredientRate,Value/CoinType,Value/CoinOverride,Value/CoinRate,Value/AreaChangeTreasureFlag
HPRecover,10,ChangeHP,100,ChangeHP,2,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
SPEED,11,optimizer,100,optimizer,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Peanut,12,ChangeHP,100,ChangeHP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Lantern,13,ChangeHP,100,ChangeHP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
AAAA,14,None,1,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
TestIngredients,18,None,0,Flour,1,100,Garlic,1,100,Potato,1,100,None,0,0,EDropCoin::None,0,0,false
VillageKeyBox,19,None,0,None,0,0,VillageKey,1,100,None,0,0,None,0,0,EDropCoin::None,0,0,false
PotionMaterial,20,None,0,BatFeather,3,100,MeltedBone,3,100,Iron,4,100,Bronze,4,100,EDropCoin::None,0,0,false
PhotoEvent,21,None,0,None,0,0,IDphoto,1,100,None,0,0,None,0,0,EDropCoin::None,0,0,false
CertificationboardEvent,22,None,0,None,0,0,Certificationboard,1,100,None,0,0,None,0,0,EDropCoin::None,0,0,false
Qu07_Last,23,None,0,None,0,0,Adversityring,1,100,None,0,0,None,0,0,EDropCoin::None,0,0,false
Swordsman,24,None,0,None,0,0,Swordsman,1,100,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN000_01,28,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN000_02,29,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Tunic,30,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN003_02,31,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN003_03,32,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN003_04,33,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN016_01,34,None,0,Potion,1,0,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN016_02,35,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN017_01,36,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN019_01,37,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Spear,38,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Shoes,39,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
